dates,tweet_count,sentiment,sales,movie
2018-03-25,85,-0.279015294117647,66885,darkest
2018-04-01,26,-0.3523807692307692,25825,darkest
2018-04-08,308,-0.2591639610389606,14400,darkest
2018-04-15,309,-0.21574012944983811,0,darkest
2017-10-29,332,0.13260933734939762,0,callme
2017-11-05,315,0.1477323809523809,0,callme
2017-11-12,340,0.15883647058823522,0,callme
2017-11-19,257,0.140543579766537,0,callme
2017-11-26,131,0.25678320610687044,626895,callme
2017-12-03,93,0.08453440860215054,454410,callme
2017-12-10,112,0.16877946428571425,432173,callme
2017-12-17,50,0.09211799999999998,774313,callme
2017-12-24,27,0.07842222222222223,1620973,callme
2017-12-31,65,0.09306769230769228,1417165,callme
2018-01-07,65,0.11900615384615384,1189666,callme
2018-01-14,65,0.10720615384615383,1181780,callme
2018-01-21,60,-0.018956666666666667,2313165,callme
2018-01-28,46,0.1571717391304348,1929578,callme
2018-02-04,73,0.046706849315068494,1322018,callme
2018-02-11,76,0.12738815789473687,1107524,callme
2018-02-18,11,0.10608181818181818,871250,callme
2018-02-25,33,0.1680121212121212,885152,callme
2018-03-04,98,0.013578571428571431,1038683,callme
2018-03-11,54,0.057064814814814825,450112,callme
2018-03-18,56,0.08636071428571425,199317,callme
2018-03-25,26,0.09345769230769231,114347,callme
2018-04-01,172,0.06422500000000002,79518,callme
2018-04-08,38,0.08947105263157897,44577,callme
2018-04-15,36,0.07191388888888887,23821,callme
2018-04-22,341,0.0696762463343108,19264,callme
2018-04-29,1653,0.07781554748941304,0,callme
